population,x,y
745,143.74,-71.85
2138,144.86,-71.85
11168,145.99,-71.85
1243,135.83,-70.93
3095,136.96,-70.93
11326,138.09,-70.93
9237,139.22,-70.93
9472,140.34,-70.93
7073,141.47,-70.93
2378,142.6,-70.93
1238,143.73,-70.93
4897,144.86,-70.93
9193,145.98,-70.93
5723,135.82,-70.0
1957,136.95,-70.0
6117,138.08,-70.0
7644,139.21,-70.0
10861,140.34,-70.0
10921,141.46,-70.0
11225,142.59,-70.0
9710,143.72,-70.0
4672,144.85,-70.0
12217,145.98,-70.0
8329,135.82,-69.07
3998,136.94,-69.07
8331,138.07,-69.07
10211,139.2,-69.07
5651,140.33,-69.07
8545,141.46,-69.07
10099,142.59,-69.07
12431,143.71,-69.07
11075,144.84,-69.07
13868,145.97,-69.07
4297,135.81,-68.15
9874,136.94,-68.15
10608,138.07,-68.15
6896,139.19,-68.15
3858,140.32,-68.15
11525,141.45,-68.15
7460,142.58,-68.15
9953,143.71,-68.15
13036,144.83,-68.15
9101,145.96,-68.15
3924,135.8,-67.22
10845,136.93,-67.22
12664,138.06,-67.22
11758,139.19,-67.22
7678,140.31,-67.22
11709,141.44,-67.22
14047,142.57,-67.22
13432,143.7,-67.22
12335,144.83,-67.22
7798,145.95,-67.22
12118,135.8,-66.3
13025,136.92,-66.3
14127,138.05,-66.3
6051,139.18,-66.3
6701,140.31,-66.3
12165,141.43,-66.3
13985,142.56,-66.3
15810,143.69,-66.3
10262,144.82,-66.3
12270,145.95,-66.3
10619,135.79,-65.37
11484,136.92,-65.37
10138,138.04,-65.37
10226,139.17,-65.37
9521,140.3,-65.37
11497,141.43,-65.37
17153,142.56,-65.37
16828,143.68,-65.37
14687,144.81,-65.37
12821,145.94,-65.37
10281,147.14,-73.7
7774,147.13,-72.78
3358,148.26,-72.78
11,149.38,-72.78
10473,147.12,-71.85
2939,148.25,-71.85
9165,147.11,-70.93
4849,148.24,-70.93
9636,147.11,-70.0
5466,148.23,-70.0
3040,147.1,-69.07
2752,148.23,-69.07
13,148.22,-68.15
9,149.35,-68.15
4832,147.07,-65.37
67,148.19,-65.37
719,149.32,-65.37
946,150.45,-65.37
19,94.05,-64.44
92,96.31,-64.44
12,94.05,-63.52
133,94.04,-62.59
173,94.04,-61.67
1,95.17,-61.67
13,95.16,-60.74
16,95.16,-59.81
1,96.28,-58.89
8,110.97,-64.44
46,112.1,-64.44
73,112.09,-63.52
6,108.69,-59.81
1,109.8,-57.04
1,109.79,-56.11
336,113.23,-64.44
398,114.35,-64.44
155,115.48,-64.44
1035,116.61,-64.44
346,117.74,-64.44
295,118.87,-64.44
4433,119.99,-64.44
7224,121.12,-64.44
473,122.25,-64.44
1593,123.38,-64.44
47,115.48,-63.52
1215,116.6,-63.52
264,117.73,-63.52
419,118.86,-63.52
1857,119.99,-63.52
3144,121.11,-63.52
4592,122.24,-63.52
4366,123.37,-63.52
3,113.21,-62.59
7,114.34,-62.59
299,115.47,-62.59
693,116.6,-62.59
1745,117.73,-62.59
1667,118.85,-62.59
8275,119.98,-62.59
3175,121.11,-62.59
10407,122.24,-62.59
6554,123.36,-62.59
6,115.46,-61.67
852,116.59,-61.67
3508,117.72,-61.67
497,118.85,-61.67
5737,119.97,-61.67
5868,121.1,-61.67
11328,122.23,-61.67
8986,123.36,-61.67
24,115.46,-60.74
361,116.59,-60.74
1622,117.71,-60.74
409,118.84,-60.74
4220,119.97,-60.74
9153,121.1,-60.74
8484,122.22,-60.74
3582,123.35,-60.74
26,115.45,-59.81
4,116.58,-59.81
226,117.71,-59.81
1275,118.83,-59.81
3017,119.96,-59.81
2496,121.09,-59.81
8300,122.22,-59.81
3292,123.34,-59.81
806,115.45,-58.89
326,116.57,-58.89
292,117.7,-58.89
685,118.83,-58.89
682,119.96,-58.89
4502,121.08,-58.89
6072,122.21,-58.89
3937,123.34,-58.89
81,114.31,-57.96
650,115.44,-57.96
392,116.57,-57.96
973,117.69,-57.96
1541,118.82,-57.96
754,119.95,-57.96
7794,121.08,-57.96
1040,122.2,-57.96
3030,123.33,-57.96
471,114.31,-57.04
2,115.43,-57.04
2,116.56,-57.04
189,117.69,-57.04
1160,118.82,-57.04
3755,119.94,-57.04
2501,121.07,-57.04
1484,122.2,-57.04
2011,123.32,-57.04
106,114.3,-56.11
380,117.68,-56.11
4706,118.81,-56.11
1773,119.94,-56.11
1435,121.06,-56.11
1816,122.19,-56.11
2021,123.32,-56.11
2294,124.5,-64.44
2591,125.63,-64.44
4103,126.76,-64.44
643,127.89,-64.44
2086,129.01,-64.44
6071,130.14,-64.44
4637,131.27,-64.44
9798,132.4,-64.44
8357,133.53,-64.44
9378,134.65,-64.44
3927,124.5,-63.52
4521,125.63,-63.52
4096,126.75,-63.52
2505,127.88,-63.52
2602,129.01,-63.52
1808,130.14,-63.52
5411,131.26,-63.52
9588,132.39,-63.52
4075,133.52,-63.52
6191,134.65,-63.52
5746,124.49,-62.59
3234,125.62,-62.59
6988,126.75,-62.59
4333,127.87,-62.59
4947,129.0,-62.59
2407,130.13,-62.59
8109,131.26,-62.59
9994,132.38,-62.59
1642,133.51,-62.59
2627,134.64,-62.59
9038,124.48,-61.67
8165,125.61,-61.67
5942,126.74,-61.67
3695,127.87,-61.67
4415,128.99,-61.67
6,130.12,-61.67
5153,131.25,-61.67
8237,132.38,-61.67
4084,133.5,-61.67
4664,134.63,-61.67
3956,124.48,-60.74
8362,125.61,-60.74
9012,126.73,-60.74
6835,127.86,-60.74
3585,128.99,-60.74
86,130.12,-60.74
3943,131.24,-60.74
8117,132.37,-60.74
9452,133.5,-60.74
10462,134.63,-60.74
3166,124.47,-59.81
8888,125.6,-59.81
6480,126.73,-59.81
12386,127.85,-59.81
6688,128.98,-59.81
2365,130.11,-59.81
6572,131.24,-59.81
11761,132.36,-59.81
12167,133.49,-59.81
12302,134.62,-59.81
581,124.46,-58.89
4855,125.59,-58.89
9948,126.72,-58.89
11967,127.85,-58.89
13933,128.97,-58.89
6291,130.1,-58.89
11475,131.23,-58.89
10033,132.36,-58.89
11690,133.48,-58.89
11007,134.61,-58.89
3111,124.46,-57.96
6034,125.59,-57.96
12145,126.71,-57.96
10560,127.84,-57.96
9724,128.97,-57.96
5035,130.09,-57.96
6156,131.22,-57.96
8016,132.35,-57.96
9631,133.48,-57.96
4853,134.6,-57.96
648,124.45,-57.04
6157,125.58,-57.04
5942,126.71,-57.04
3148,127.83,-57.04
11908,128.96,-57.04
14680,130.09,-57.04
12542,131.22,-57.04
5801,132.34,-57.04
900,133.47,-57.04
